,导演,上映日期,地区,评分,评价人数
倩女幽魂,程小东 Siu-Tung Ching,"
                            1987",中国香港,8.8,675437
侧耳倾听,近藤喜文 Yoshifumi Kondo,"
                            1995",日本,8.9,423954
时空恋旅人,理查德·柯蒂斯 Richard Curtis,"
                            2013",英国,8.8,594851
幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg,"
                            2004",美国,8.8,517657
驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,"
                            2010",美国,8.7,697853
萤火之森,大森贵弘 Takahiro Omori,"
                            2011",日本,8.9,485192
玛丽和马克思,亚当·艾略特 Adam Elliot,"
                            2009",澳大利亚 美国,8.9,399148
怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,"
                            2001",美国,8.8,609930
教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola,"
                            1990",美国,9.0,336621
一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm,"
                            2015",瑞典,8.9,418108
寄生虫,奉俊昊 Joon-ho Bong,"
                            2019",韩国,8.8,1262443
大鱼,蒂姆·波顿 Tim Burton,"
                            2003",美国,8.8,528632
玩具总动员3,李·昂克里奇 Lee Unkrich,"
                            2010",美国,8.9,468910
傲慢与偏见,乔·怀特 Joe Wright,"
                            2005",法国 英国 美国,8.7,726346
告白,中岛哲也 Tetsuya Nakashima,"
                            2010",日本,8.8,629856
神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,"
                            2010",美国 法国,8.6,878132
釜山行,延尚昊 Sang-ho Yeon,"
                            2016",韩国,8.6,1097379
未麻的部屋,今敏 Satoshi Kon,"
                            1997",日本,9.0,289630
阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang,"
                            2011",韩国,8.8,559235
射雕英雄传之东成西就,刘镇伟 Jeffrey Lau,"
                            1993",中国香港,8.7,586532
被解救的姜戈,昆汀·塔伦蒂诺 Quentin Tarantino,"
                            2012",美国,8.8,558929
恐怖直播,金秉祐 Byeong-woo Kim,"
                            2013",韩国,8.7,600308
哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,"
                            1979",中国大陆,9.1,235136
哈利·波特与火焰杯,迈克·内威尔 Mike Newell,"
                            2005",英国 美国,8.7,578943
我是山姆,杰茜·尼尔森 Jessie Nelson,"
                            2001",美国,9.0,308456
血战钢锯岭,梅尔·吉布森 Mel Gibson,"
                            2016",澳大利亚 美国,8.7,730253
头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg,"
                            2018",美国,8.7,1261962
新世界,朴勋政 Hoon-jung Park,"
                            2013",韩国,8.9,365929
模仿游戏,莫滕·泰杜姆 Morten Tyldum,"
                            2014",英国 美国,8.7,589067
喜宴,李安 Ang Lee,"
                            1993",中国台湾 美国,9.0,322592
七武士,黑泽明 Akira Kurosawa,"
                            1954",日本,9.3,179339
花样年华,王家卫 Kar Wai Wong,"
                            2000",中国香港,8.7,544945
黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,"
                            2003",美国,8.8,414018
头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen,"
                            2015",美国,8.8,555578
电锯惊魂,詹姆斯·温 James Wan,"
                            2004",美国,8.7,484770
三块广告牌,马丁·麦克唐纳 Martin McDonagh,"
                            2017",美国 英国,8.7,762323
你的名字。,新海诚 Makoto Shinkai,"
                            2016",日本,8.5,1275764
卢旺达饭店,特瑞·乔治 Terry George,"
                            2004",英国 南非 意大利 美国,8.9,300260
达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée,"
                            2013",美国,8.8,419021
疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,"
                            2013",美国,8.7,780354
上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund,"
                            2002",巴西 法国,9.0,280845
谍影重重3,保罗·格林格拉斯 Paul Greengrass,"
                            2007",美国 德国,8.8,388274
九品芝麻官,王晶 Jing Wong,"
                            1994",中国香港 中国大陆,8.7,598424
惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock,"
                            1960",美国,9.0,254731
英雄本色,吴宇森 John Woo,"
                            1986",中国香港,8.6,488212
风之谷,宫崎骏 Hayao Miyazaki,"
                            1984",日本,8.9,332544
心迷宫,忻钰坤 Yukun Xin,"
                            2014",中国大陆,8.7,471200
纵横四海,吴宇森 John Woo,"
                            1991",中国香港,8.8,385282
海街日记,是枝裕和 Hirokazu Koreeda,"
                            2015",日本,8.8,406152
岁月神偷,罗启锐 Alex Law,"
                            2010",中国香港 中国大陆,8.7,543273
记忆碎片,克里斯托弗·诺兰 Christopher Nolan,"
                            2000",美国,8.7,559847
忠犬八公物语,Seijirô Kôyama,"
                            1987",日本,9.2,177314
荒蛮故事,达米安·斯兹弗隆 Damián Szifron,"
                            2014",阿根廷 西班牙,8.8,406309
爱在午夜降临前,理查德·林克莱特 Richard Linklater,"
                            2013",美国 希腊,8.9,353937
绿里奇迹,Frank Darabont,"
                            1999",美国,8.9,293774
色，戒,李安 Ang Lee,"
                            2007",中国台湾 中国大陆 美国 中国香港,8.6,689697
爆裂鼓手,达米恩·查泽雷 Damien Chazelle,"
                            2014",美国,8.7,532039
