Book name,Author,URL,Coming Date,Publish,Ratings,Rating population,Price
离开的，留下的:那不勒斯四部曲3,[意]埃莱娜·费兰特,https://book.douban.com/subject/27104959/,2017,人民文学出版社,8.9,59403,62.00
恶意,[日]东野圭吾,https://book.douban.com/subject/26877752/,2016,南海出版公司,8.7,86899,39.50
哈利·波特,J.K.罗琳(J.K.Rowling),https://book.douban.com/subject/24531956/,2008,人民文学出版社,9.7,75726,498.00
家庭生活,姚鄂梅,https://book.douban.com/subject/35152144/,2021,人民文学出版社,8.5,4807,39.00
黑色大丽花,[美]詹姆斯·艾尔罗伊,https://book.douban.com/subject/35514025/,2022,江苏凤凰文艺出版社,8.0,177,56
平原上的摩西,双雪涛,https://book.douban.com/subject/35192665/,2021,北京日报出版社,8.3,9552,59
檀香刑,莫言,https://book.douban.com/subject/26905337/,2017,浙江文艺出版社,9.3,16616,56.00
繁花,金宇澄,https://book.douban.com/subject/22714154/,2013,上海文艺出版社,8.7,30540,48.00
分成两半的子爵,[意]伊塔洛·卡尔维诺,https://book.douban.com/subject/10555486/,2012,译林出版社,8.8,19881,20.00
荒墟归人,那多,https://book.douban.com/subject/35737441/,2022,中信出版集团,7.5,255,69.80
三叶虫与其他故事,[美]布里斯·D’J.潘凯克,https://book.douban.com/subject/35776309/,2022,广西师范大学出版社,8.4,503,52.00
永远在上,[美]大卫·福斯特·华莱士,https://book.douban.com/subject/35809130/,2022,人民文学出版社,8.7,158,68.00
出格,梁晓声、蒋子龙、乔叶,https://book.douban.com/subject/35908762/,2022,江苏凤凰文艺出版社,7.7,116,59.8
棋王·树王·孩子王:阿城文集之一,阿城,https://book.douban.com/subject/26734559/,2016,江苏凤凰文艺出版社,9.2,19277,58.00
有花生的寻常一天:雪莉·杰克逊短篇小说集,[美]雪莉·杰克逊,https://book.douban.com/subject/35780224/,2022,北京联合出版公司,8.2,466,49.80
一句顶一万句,刘震云,https://book.douban.com/subject/3633461/,2009,长江文艺出版社,8.7,57710,29.80
马可瓦尔多,[意]伊塔洛·卡尔维诺,https://book.douban.com/subject/34799583/,2020,译林出版社,8.9,12791,42.00
她只说“是的”:雪莉·杰克逊短篇小说选,雪莉·杰克逊,https://book.douban.com/subject/35785652/,2022,中信出版社,7.5,889,49
小径分岔的花园,[阿根廷]豪·路·博尔赫斯,https://book.douban.com/subject/25796120/,2015,上海译文出版社,9.0,34462,23.00
其主之声,[波]斯坦尼斯瓦夫·莱姆,https://book.douban.com/subject/35268281/,2021,译林出版社,9.0,3007,46.00
